merchant,category,amt,lat,long,merch_lat,merch_long,hour,day,month,gender,cc_num,is_fraud
7-Eleven,pharmacy,74.9,29.2368,-111.199,29.272299999999998,-111.1799,19,26,1,M,4090845060443965,0
Target,grocery,820.94,39.3198,-81.6838,39.283300000000004,-81.6473,20,17,5,M,2148143842632669,0
Kroger,grocery,200.85,48.41,-118.0749,48.441199999999995,-118.0335,10,2,5,F,1350626721230503,0
Kroger,clothing,325.87,31.9248,-118.0626,31.962600000000002,-118.0557,20,17,2,F,6636888549158294,0
CVS,pharmacy,657.39,27.0467,-96.4622,27.064600000000002,-96.48089999999999,2,27,5,F,7430946589797601,0
Target,pharmacy,475.67,41.2242,-97.1747,41.222300000000004,-97.1397,18,9,4,F,1992870857037299,1
Shell,grocery,951.67,26.0452,-70.5507,26.0839,-70.52950000000001,12,20,5,F,1712260766468282,0
eBay,clothing,798.07,44.5445,-72.475,44.532199999999996,-72.42699999999999,21,6,1,M,6740316580094297,0
CVS,convenience,721.08,47.1443,-107.9486,47.109300000000005,-107.9932,16,20,6,M,9888467006428941,0
Amazon,grocery,484.76,45.5684,-67.1353,45.602799999999995,-67.1095,9,20,11,F,9589987100858443,0
Shell,pharmacy,238.57,28.771,-103.0437,28.779500000000002,-103.06530000000001,15,12,12,F,8363192253181884,0
Kroger,pharmacy,728.54,32.4105,-88.357,32.372099999999996,-88.345,5,4,8,M,2942646877962820,0
Apple Store,electronics,399.1,31.3879,-98.3502,31.404999999999998,-98.3666,13,20,1,M,4944300566188149,0
eBay,electronics,471.86,40.979,-122.7322,40.9395,-122.76450000000001,6,3,7,M,9208356858312887,0
CVS,convenience,571.76,31.2799,-93.0155,31.304000000000002,-93.00500000000001,19,13,6,F,6875224876764271,0
Shell,fuel,328.39,37.4924,-93.1934,37.462500000000006,-93.2251,20,25,6,F,2608478593694304,0
Shell,clothing,991.51,25.791,-72.0799,25.7485,-72.0623,13,2,4,M,5978293411869390,0
Amazon,grocery,274.81,31.9303,-87.0825,31.9119,-87.1169,14,3,6,M,5749145190210826,0
Shell,pharmacy,216.38,29.9689,-109.6979,29.9354,-109.7222,4,3,4,F,8074820859999483,1
7-Eleven,grocery,461.33,42.344,-111.762,42.2962,-111.7259,2,3,1,F,9909846893178077,0
Apple Store,grocery,313.4,27.7777,-73.5016,27.7642,-73.5084,22,4,1,M,5422715333538979,0
CVS,fuel,266.91,32.5657,-119.8188,32.5514,-119.8599,14,28,3,F,2899649067295658,0
Amazon,clothing,983.22,34.1094,-92.156,34.123200000000004,-92.1847,12,9,4,M,8126294179244079,0
Best Buy,grocery,577.5,33.665,-106.7502,33.670899999999996,-106.75200000000001,4,16,9,F,8077903756131216,0
Walmart,fuel,523.24,37.7422,-118.3252,37.7296,-118.3504,9,9,7,M,2706138069685921,0
Apple Store,pharmacy,233.15,42.025,-68.4608,42.024699999999996,-68.4525,16,11,5,M,5334300524245247,0
Apple Store,fuel,841.48,48.4415,-73.2131,48.4409,-73.2216,0,26,8,F,1105088066063659,0
Amazon,fuel,91.72,47.6802,-119.0295,47.727,-119.0047,9,2,5,F,3883587971501529,0
Best Buy,clothing,934.07,38.2514,-91.4365,38.2369,-91.4664,2,28,2,F,7891836292732848,0
CVS,grocery,167.44,32.6518,-83.4285,32.6314,-83.439,16,7,12,F,2362030021483390,0
Shell,clothing,900.06,39.1621,-99.8957,39.1336,-99.8712,9,4,12,M,8166516683479121,0
Walmart,clothing,273.7,37.3038,-103.3584,37.331300000000006,-103.3563,2,14,7,M,9076545430647285,0
7-Eleven,clothing,265.49,35.287,-70.5048,35.276199999999996,-70.4906,15,6,3,M,9768013651698025,0
CVS,electronics,130.98,44.408,-109.9312,44.396,-109.91290000000001,4,22,7,M,9303035709315521,0
Target,fuel,985.71,46.1368,-67.5678,46.129200000000004,-67.5274,23,11,9,M,8851549282276810,0
Walmart,grocery,887.3,43.6019,-95.8018,43.5828,-95.7622,9,16,5,F,7650802758403643,0
Amazon,pharmacy,395.46,30.9852,-93.8274,30.9939,-93.86149999999999,20,4,11,M,6524372373322315,1
Amazon,fuel,252.12,32.8643,-106.4121,32.8881,-106.3964,0,21,2,M,5492012786595863,0
CVS,fuel,223.0,45.5293,-96.7945,45.4951,-96.836,12,22,2,M,3965643499039986,1
Kroger,pharmacy,521.84,33.127,-117.4768,33.104,-117.44749999999999,4,30,3,M,5488738229534209,0
eBay,fuel,731.36,44.2941,-91.7911,44.3113,-91.82,15,2,1,F,7837882508582515,1
Target,electronics,696.81,38.1537,-106.5237,38.1897,-106.5335,12,15,12,M,1715016943355837,0
Amazon,clothing,441.78,30.6941,-116.2262,30.729499999999998,-116.2458,12,15,10,M,1182028409775085,0
Amazon,pharmacy,217.83,29.7764,-118.3893,29.7841,-118.4247,16,13,6,M,5793162174816814,0
Shell,fuel,688.39,28.3814,-90.0295,28.3993,-90.0104,8,28,4,F,9299976787016760,0
Kroger,grocery,899.16,36.818,-108.8276,36.849999999999994,-108.8318,10,12,1,M,9082386898174908,0
Walmart,fuel,870.81,48.7095,-81.136,48.6932,-81.1124,14,18,9,M,4169220666319744,0
Shell,fuel,169.79,34.8133,-73.065,34.7954,-73.069,20,17,7,M,3798092056437386,0
Kroger,clothing,194.17,41.4457,-72.9346,41.4675,-72.98190000000001,0,2,6,M,8138743501925740,1
Best Buy,clothing,673.88,34.1406,-78.2642,34.1066,-78.3058,20,13,3,M,6072873961034941,1
7-Eleven,fuel,916.61,26.5641,-116.1337,26.5934,-116.17020000000001,10,9,4,M,6825375171704585,0
eBay,convenience,353.91,33.72,-117.0464,33.7589,-117.0021,16,8,4,M,2686157812107437,0
Kroger,clothing,761.6,31.2745,-124.5998,31.2377,-124.6062,16,15,9,M,4000214796276079,1
Kroger,convenience,101.44,46.2561,-91.9741,46.2197,-91.98840000000001,1,6,4,F,5715627760794765,0
eBay,grocery,781.79,40.1564,-99.3922,40.115899999999996,-99.3437,18,8,9,M,7473463193790316,0
Amazon,convenience,388.46,41.5176,-108.4475,41.475500000000004,-108.467,20,8,10,M,8849895657632300,0
Best Buy,fuel,198.99,30.9341,-111.5457,30.893800000000002,-111.5025,17,9,7,F,7989798373316325,0
Amazon,pharmacy,183.88,38.4349,-121.1316,38.4463,-121.08470000000001,11,12,4,F,8435175024350687,0
Shell,grocery,570.52,32.4568,-70.2819,32.488,-70.31569999999999,19,8,2,F,5225440936885422,0
Apple Store,convenience,158.21,27.7622,-104.7819,27.7952,-104.81179999999999,10,5,3,M,7378837826336384,0
Apple Store,convenience,308.38,25.3542,-73.2431,25.3689,-73.27929999999999,19,16,3,F,5633423922041833,0
Apple Store,fuel,430.87,41.3687,-108.6882,41.327299999999994,-108.69409999999999,13,27,7,F,9734253867314159,0
Target,grocery,564.5,43.1349,-75.9939,43.1807,-76.0095,9,1,4,M,5286148013874730,0
Apple Store,convenience,467.09,29.4777,-74.8841,29.525199999999998,-74.9233,10,14,8,M,1969083429123620,0
Best Buy,electronics,81.51,25.3901,-100.1858,25.4392,-100.1444,5,5,4,F,3276221478084909,0
Amazon,fuel,424.95,48.2323,-76.8651,48.1897,-76.81869999999999,9,12,8,M,5747696361758244,1
Target,grocery,239.94,33.7962,-102.0334,33.814299999999996,-102.0348,8,5,1,M,3408220550915125,0
Best Buy,convenience,487.99,41.0125,-123.2745,41.047200000000004,-123.2525,7,13,5,M,2661176062054187,1
Amazon,fuel,312.27,47.774,-98.0303,47.8095,-98.0517,7,3,12,F,5992756714924012,0
Kroger,electronics,273.15,36.2972,-108.8414,36.2707,-108.79499999999999,16,20,10,M,4023163195943799,0
7-Eleven,grocery,612.52,43.9466,-93.7268,43.957499999999996,-93.7045,15,14,11,M,9272544022527558,0
Walmart,pharmacy,279.65,42.6267,-88.1038,42.6254,-88.1196,17,8,4,M,3722257596658553,0
Best Buy,clothing,44.65,43.9319,-75.4047,43.8928,-75.3553,22,2,7,F,9981481257036316,0
Amazon,convenience,824.72,33.3961,-83.982,33.398999999999994,-83.9391,5,13,4,M,8951202683430893,0
7-Eleven,clothing,201.97,27.2832,-83.854,27.3325,-83.8775,18,9,11,F,1149389498931283,0
eBay,grocery,419.21,40.3701,-123.4219,40.3374,-123.3946,13,23,1,M,1841297973379132,0
7-Eleven,grocery,19.46,41.4502,-101.1519,41.475,-101.1572,0,20,2,M,9855638475041147,0
Kroger,convenience,518.57,44.1721,-71.9929,44.1251,-71.96310000000001,15,22,5,F,6628617226883054,0
eBay,clothing,763.89,32.6208,-89.6613,32.572500000000005,-89.6694,16,25,4,F,9888799865183092,0
Walmart,grocery,842.7,44.736,-107.484,44.7133,-107.45479999999999,23,3,12,F,1302646303986925,0
Walmart,convenience,201.79,47.1565,-79.4554,47.163000000000004,-79.46509999999999,15,4,3,F,7527387669479321,0
Amazon,clothing,715.95,28.1649,-118.0212,28.198999999999998,-118.0162,19,25,6,F,5005984629579822,0
Target,grocery,306.01,38.4136,-119.752,38.420300000000005,-119.75959999999999,14,14,10,M,6085603264142805,1
eBay,electronics,950.37,34.8334,-122.217,34.813199999999995,-122.2026,14,13,8,F,9916632473096917,1
Walmart,pharmacy,947.53,35.5639,-123.244,35.5327,-123.2879,15,27,6,M,5626113114493171,0
Apple Store,clothing,823.59,45.8462,-105.6272,45.8614,-105.631,23,8,9,M,5837686430525818,0
Walmart,clothing,583.18,30.0942,-87.8504,30.052300000000002,-87.8026,18,16,11,F,3163304680913337,0
Target,grocery,747.6,33.324,-100.8905,33.3501,-100.9291,16,13,8,F,6087365882068247,1
eBay,grocery,945.57,27.0836,-73.5283,27.1094,-73.4995,23,23,8,F,3669417484001230,0
Apple Store,grocery,492.81,34.3035,-117.4233,34.3217,-117.46209999999999,7,16,6,F,1152743032598519,0
Target,pharmacy,191.07,47.4794,-112.5419,47.4428,-112.5559,7,26,2,F,5163933519649205,0
Kroger,electronics,33.82,38.5059,-72.808,38.494,-72.7933,21,1,7,F,2332742062680841,0
Kroger,convenience,584.17,48.755,-108.1351,48.7329,-108.1818,23,17,10,M,4936775433480677,0
CVS,convenience,685.85,25.6225,-70.9746,25.6268,-70.97619999999999,10,13,2,M,4764831935211277,0
Amazon,convenience,300.8,30.1617,-104.8522,30.1294,-104.8522,1,12,6,F,7139659818148657,0
7-Eleven,grocery,810.36,44.0633,-108.39,44.0571,-108.4132,2,14,7,M,1196742153747748,0
7-Eleven,clothing,899.36,48.457,-69.9845,48.486000000000004,-69.9932,16,26,8,M,2174714872893119,0
Shell,convenience,893.84,46.69,-69.9256,46.715599999999995,-69.91680000000001,18,23,2,M,2486679663253958,0
Kroger,pharmacy,421.13,46.9146,-68.7565,46.9612,-68.7534,18,24,2,M,3853559030973564,0
Shell,grocery,282.06,36.0672,-104.5635,36.0365,-104.5266,11,31,3,M,7041644458095604,0
eBay,clothing,985.67,31.6958,-86.4937,31.6649,-86.4452,18,21,11,F,8449067755212504,0
Shell,clothing,776.38,37.3379,-96.4244,37.3287,-96.4174,19,10,2,M,8093749207199450,0
CVS,clothing,767.74,47.253,-66.6983,47.285,-66.7175,11,19,12,F,1789355452368611,0
Best Buy,clothing,64.88,25.2114,-75.7666,25.1883,-75.72579999999999,13,1,1,M,4198275391126424,0
7-Eleven,clothing,766.19,38.9686,-85.599,38.9831,-85.59,4,29,1,M,5797745394469145,1
7-Eleven,fuel,334.19,40.9334,-111.0259,40.977599999999995,-111.05229999999999,0,4,2,F,7004576188422434,0
Walmart,electronics,503.77,25.4052,-106.7785,25.381,-106.81909999999999,8,16,8,M,9810463765371308,1
Kroger,grocery,798.88,28.7242,-75.9764,28.6918,-75.978,16,27,9,F,5402276406205431,0
Target,fuel,461.01,39.3827,-98.0314,39.3567,-97.9915,1,15,9,M,3303921752862360,0
Target,electronics,864.42,27.6282,-103.8414,27.604499999999998,-103.8193,13,8,1,M,4168849887327242,0
Walmart,electronics,912.53,48.8651,-110.7222,48.8611,-110.76520000000001,5,8,6,M,7784916248009049,0
Target,pharmacy,282.14,39.7693,-93.7225,39.7287,-93.67649999999999,4,1,1,F,4191692484166545,0
Best Buy,grocery,547.6,29.3711,-114.6921,29.389899999999997,-114.6965,2,25,3,M,8218540405886787,1
Shell,clothing,125.08,32.9859,-97.0462,32.9606,-97.0355,17,22,7,F,4768510654071115,0
Shell,clothing,321.1,38.7642,-124.5777,38.7319,-124.6253,6,10,10,M,6614588487540276,0
eBay,electronics,485.74,27.3592,-69.9779,27.373,-69.9445,6,15,10,M,4345026747148561,0
Target,pharmacy,277.35,30.7312,-90.6291,30.7265,-90.6621,6,28,8,F,6008316263995743,0
Best Buy,fuel,846.84,46.2888,-110.9401,46.3025,-110.96340000000001,8,10,9,F,1981368721984438,0
Amazon,electronics,380.41,27.5161,-72.8687,27.521500000000003,-72.9162,11,16,2,F,1978452027487484,0
Apple Store,clothing,797.67,25.9064,-70.4528,25.9557,-70.43339999999999,18,16,4,M,1183782168062865,0
Amazon,clothing,478.63,45.151,-102.6014,45.1775,-102.56739999999999,13,9,3,F,6742833659304516,0
Shell,clothing,584.85,38.8129,-90.296,38.8099,-90.29400000000001,7,24,8,F,9712069682796180,0
Target,convenience,992.72,33.1697,-92.8876,33.158,-92.9107,8,25,8,M,9765240611900874,0
Walmart,fuel,458.29,25.3831,-115.3991,25.3661,-115.4461,8,20,8,M,5532758344788557,0
Kroger,pharmacy,262.64,32.5474,-80.5986,32.588300000000004,-80.58510000000001,14,26,4,F,7319101540831393,1
Target,convenience,805.82,42.0072,-85.7732,42.0387,-85.7423,21,6,12,M,5829777500377778,0
7-Eleven,grocery,691.95,41.1309,-79.9978,41.138999999999996,-79.9509,9,19,12,F,2881715897614565,1
Apple Store,pharmacy,841.89,37.9509,-83.8364,37.9252,-83.8562,15,31,1,M,2766841402583779,0
Best Buy,fuel,483.03,46.7417,-113.5197,46.7727,-113.5071,12,15,2,M,5421829277275306,0
Target,pharmacy,408.54,36.76,-108.4295,36.7663,-108.4757,8,24,10,F,6974551223426241,0
Best Buy,pharmacy,745.83,40.4148,-105.3098,40.4404,-105.2843,18,2,10,F,7292716547351662,0
CVS,grocery,647.12,44.5509,-99.6581,44.5398,-99.6104,19,26,5,F,4018668409903758,0
Best Buy,electronics,735.29,33.3835,-122.7988,33.3884,-122.8365,1,13,8,F,8694873092909633,0
Amazon,grocery,685.08,45.7673,-98.9076,45.8124,-98.8918,10,19,2,M,5430869613500945,0
eBay,electronics,740.43,37.4325,-77.3086,37.401799999999994,-77.3373,16,27,6,F,2466080404612183,0
Apple Store,fuel,329.09,38.7434,-109.0132,38.7715,-109.0285,17,18,10,F,6992723774867892,0
Walmart,pharmacy,877.64,27.6697,-79.5566,27.668899999999997,-79.5766,19,26,1,F,6161127352620525,1
CVS,grocery,786.83,39.0737,-117.8126,39.0627,-117.78410000000001,6,17,2,M,8355579816521217,0
Apple Store,grocery,603.28,45.6701,-81.378,45.7117,-81.3788,5,10,6,M,8944775031491255,0
Best Buy,clothing,64.61,28.414,-93.037,28.403100000000002,-92.99260000000001,1,9,2,F,4824566551755322,1
Shell,clothing,47.3,33.3064,-106.1436,33.2844,-106.09660000000001,18,3,12,M,8857004548428820,0
CVS,convenience,762.44,48.1448,-85.0937,48.1504,-85.1326,14,29,5,M,9087143482135786,0
Target,pharmacy,556.72,43.7366,-108.5369,43.777300000000004,-108.5261,22,8,9,F,1183513527679444,0
Shell,fuel,474.19,35.7921,-122.5028,35.7665,-122.5406,22,17,12,F,1365130441709988,1
Walmart,electronics,974.63,39.9079,-89.8346,39.9206,-89.8638,15,15,5,M,2092285546193844,0
Target,convenience,946.6,41.6952,-73.1414,41.6649,-73.0931,10,11,3,M,9007201888697731,0
7-Eleven,clothing,597.49,39.4068,-96.2038,39.362899999999996,-96.1683,15,9,10,M,1359820823812423,0
7-Eleven,convenience,464.13,30.4279,-116.5497,30.435200000000002,-116.5038,21,11,5,F,8352379970401217,1
Shell,convenience,210.74,43.9886,-89.266,43.942,-89.30430000000001,16,22,8,M,1316383220819079,0
Kroger,pharmacy,89.17,34.5561,-97.9511,34.509,-97.9311,17,2,7,M,2658887774333432,0
Target,clothing,287.78,45.7249,-67.3068,45.7626,-67.33619999999999,3,3,12,F,2909005943631726,0
CVS,clothing,846.73,45.9209,-99.6805,45.9684,-99.6503,15,2,3,M,2476707479685923,0
Best Buy,convenience,101.8,37.7834,-86.0532,37.8041,-86.0416,23,6,1,F,6004751468607849,0
CVS,electronics,308.23,31.8146,-81.0099,31.840899999999998,-80.987,17,18,12,M,3042212380265742,0
CVS,electronics,589.54,31.886,-66.4594,31.915699999999998,-66.428,22,19,2,F,9122333396097413,0
Walmart,fuel,922.62,41.3455,-74.7314,41.3009,-74.76679999999999,4,28,11,F,7847728284723897,0
Kroger,pharmacy,597.2,33.5797,-111.2004,33.587700000000005,-111.1867,15,29,7,M,2561105081057315,0
Apple Store,clothing,943.32,33.6081,-84.9222,33.657000000000004,-84.94930000000001,10,19,4,F,7132084128952457,1
Kroger,pharmacy,496.44,27.1711,-121.9103,27.2164,-121.8887,22,22,8,F,6879217702159862,0
Walmart,clothing,425.31,34.9336,-93.7136,34.9142,-93.7614,21,27,12,F,6406194391979969,0
CVS,electronics,638.52,29.1102,-92.6003,29.143,-92.6413,23,2,1,M,1979229603982938,0
Walmart,fuel,935.73,35.9724,-77.1091,35.9239,-77.0676,1,31,10,F,1555747689043103,1
Shell,clothing,478.47,31.5209,-82.3762,31.5226,-82.3896,19,2,1,M,8117944716731170,1
Apple Store,convenience,459.32,43.669,-116.2736,43.6256,-116.3201,10,27,10,F,3589159850731890,0
Amazon,convenience,87.45,43.543,-70.6058,43.5511,-70.572,16,10,8,M,9703375495102187,0
Target,clothing,726.1,43.3539,-112.0435,43.3496,-112.03569999999999,22,18,2,M,3555659456278464,0
eBay,fuel,497.5,45.5582,-97.0115,45.5218,-96.9992,12,10,9,F,8121030718066139,0
7-Eleven,grocery,355.63,39.7698,-69.2761,39.7313,-69.279,11,28,3,M,2540105600482493,0
Amazon,fuel,339.84,41.0123,-90.7142,41.043600000000005,-90.7192,10,11,9,M,9393564408312822,0
Apple Store,convenience,59.56,42.7348,-121.1258,42.7711,-121.1567,6,26,12,F,4921446206282485,0
Amazon,clothing,252.65,29.5183,-106.8952,29.485,-106.9251,16,14,1,M,6304953636657703,0
Kroger,clothing,877.05,28.1827,-84.3657,28.2185,-84.37010000000001,9,14,5,M,7933522000668479,0
Target,electronics,223.1,41.2408,-69.4442,41.2192,-69.4763,3,27,5,M,5639024490570573,0
Walmart,electronics,867.63,25.6443,-85.4036,25.6435,-85.37429999999999,14,5,4,F,2654858099454040,0
CVS,convenience,853.2,36.5234,-104.8127,36.5503,-104.7723,18,18,5,F,1422559591975455,0
CVS,pharmacy,239.74,47.8575,-91.607,47.835100000000004,-91.65259999999999,0,4,3,M,3859464412669932,0
Shell,fuel,275.0,32.014,-86.0569,31.9688,-86.0498,19,20,9,F,4538931419573881,1
7-Eleven,clothing,903.0,48.8641,-81.0151,48.8578,-81.0141,18,18,11,F,1402483037564150,0
7-Eleven,fuel,395.93,28.5939,-88.5327,28.634300000000003,-88.48700000000001,12,5,6,F,2431432435339660,0
Best Buy,fuel,124.18,45.165,-72.1414,45.1967,-72.17320000000001,3,20,4,F,6844142712002293,0
Kroger,pharmacy,272.76,27.395,-115.448,27.4239,-115.43539999999999,7,14,12,M,7062213070903537,0
Best Buy,clothing,586.46,32.7666,-112.951,32.7324,-112.96379999999999,15,22,6,F,5963929840050660,0
Best Buy,electronics,263.53,31.5759,-117.847,31.576,-117.80999999999999,21,22,9,F,5905734754756214,0
Best Buy,pharmacy,256.67,37.2168,-84.3807,37.179,-84.3979,0,20,7,F,8862966274019265,0
7-Eleven,clothing,633.21,32.8961,-105.0994,32.904999999999994,-105.1139,4,30,3,F,9280529575174186,0
Apple Store,grocery,422.06,30.3627,-77.1742,30.3885,-77.1643,21,30,8,F,3737934271496193,0
7-Eleven,convenience,439.43,47.858,-111.2979,47.8735,-111.2933,3,10,1,M,1429223836104912,0
Kroger,electronics,948.32,47.3713,-77.0177,47.4146,-77.031,22,8,6,F,2328126280830572,0
eBay,convenience,271.98,35.1496,-100.3246,35.1666,-100.3421,6,2,5,F,3598264555819038,0
eBay,clothing,590.0,41.5734,-82.3013,41.533699999999996,-82.3243,0,16,5,M,7062550442676914,0
7-Eleven,grocery,588.56,40.3563,-99.7664,40.358999999999995,-99.73270000000001,7,17,4,F,8486661347733099,0
Amazon,clothing,418.58,41.698,-114.0336,41.6663,-114.02090000000001,3,20,9,M,9951671632173320,0
Amazon,pharmacy,457.24,47.0091,-103.7508,47.0323,-103.7094,9,13,11,M,7178170277916328,0
Amazon,clothing,721.35,27.9421,-87.7613,27.9562,-87.7198,15,21,4,F,3770376426407442,0
Best Buy,grocery,881.84,28.5232,-94.2793,28.5657,-94.29910000000001,0,12,10,M,6175295686978563,0
Target,clothing,970.9,26.8975,-87.5431,26.897100000000002,-87.5144,7,16,10,F,3892914520893797,0
Target,grocery,223.6,45.3809,-80.0768,45.4008,-80.05380000000001,2,8,9,M,4126385167848373,1
Target,fuel,988.44,42.7024,-96.4797,42.6673,-96.4974,1,3,9,F,9523147369750853,0
Amazon,convenience,518.06,33.3915,-118.8047,33.3665,-118.8329,7,15,2,M,6748438798535825,0
Apple Store,grocery,681.91,31.2253,-114.9691,31.2341,-115.011,11,21,6,M,9283636278766474,0
eBay,convenience,569.86,36.2537,-77.5232,36.2753,-77.5618,11,18,9,M,2890993131933351,0
Shell,grocery,834.95,37.5063,-81.1946,37.4885,-81.22879999999999,7,13,4,F,4667440355615397,0
Amazon,fuel,916.2,26.273,-108.7273,26.3217,-108.7697,10,16,4,F,2510061226343621,0
Walmart,convenience,694.61,33.1162,-70.5624,33.1621,-70.5693,16,19,2,F,4990797490292486,0
Apple Store,electronics,463.08,42.1094,-75.5313,42.1301,-75.4898,16,29,12,F,7719456760372875,0
Target,electronics,923.08,48.4956,-70.3963,48.4842,-70.3587,8,15,9,F,5906569248280919,0
7-Eleven,electronics,389.92,37.3074,-123.8969,37.2916,-123.9278,2,24,5,M,7613220994921844,0
eBay,clothing,486.6,31.4767,-122.9345,31.505300000000002,-122.894,1,17,3,F,1357745618128249,0
eBay,clothing,777.46,37.019,-119.6858,37.0667,-119.6836,16,6,3,M,4967715163246456,1
Amazon,clothing,501.03,47.8004,-70.1167,47.757200000000005,-70.13369999999999,15,8,8,M,7435146933541729,0
Amazon,fuel,179.68,28.1869,-72.5405,28.1781,-72.5757,17,21,6,M,2681366996495614,0
Target,clothing,561.44,42.8027,-108.6863,42.8278,-108.7056,8,3,9,M,7685658448363078,0
Walmart,grocery,794.24,30.6442,-96.7343,30.650000000000002,-96.69460000000001,11,26,1,M,3938392439859571,0
CVS,electronics,835.79,26.9371,-71.7793,26.905900000000003,-71.79920000000001,0,22,10,M,5203366550088360,0
Apple Store,convenience,479.31,36.7076,-109.4715,36.707499999999996,-109.46000000000001,0,26,7,M,6473506794931633,0
Best Buy,convenience,644.22,28.2956,-102.9631,28.3028,-103.0052,16,21,12,M,6534018055594619,0
Target,pharmacy,707.02,46.5251,-117.7956,46.4925,-117.8279,3,15,4,M,4314137347563539,0
7-Eleven,clothing,22.39,37.5818,-103.5711,37.5603,-103.5437,4,21,12,M,8814861414287804,0
Apple Store,clothing,231.75,31.9221,-114.1793,31.9457,-114.1336,1,21,2,M,5671720536603770,0
Walmart,grocery,358.51,29.9639,-111.5402,29.973799999999997,-111.4991,22,28,10,F,8878213574293295,0
Walmart,electronics,760.72,25.8629,-85.7441,25.857499999999998,-85.7119,8,14,1,F,3252094791068048,0
eBay,fuel,708.05,41.792,-107.1585,41.819,-107.1979,15,6,2,M,7201886311737749,0
Best Buy,convenience,918.81,25.4935,-75.6475,25.4955,-75.61569999999999,19,7,7,F,8175425177239109,0
Walmart,electronics,739.22,47.4961,-113.2427,47.4794,-113.22879999999999,21,17,11,M,7488835014078733,0
Shell,electronics,154.64,26.3189,-100.9152,26.2701,-100.9628,15,3,10,F,2047378490347714,0
Amazon,electronics,54.57,45.2899,-103.2227,45.2642,-103.2317,17,24,12,M,4450457126959122,0
Kroger,convenience,560.9,38.1292,-78.2981,38.1241,-78.28750000000001,1,9,12,F,9326542639545732,0
Target,clothing,890.53,43.7371,-75.7444,43.7115,-75.7607,13,6,2,M,9286641533292773,1
Best Buy,fuel,819.49,29.2774,-75.2048,29.2276,-75.2536,16,12,10,F,3907158285920022,0
Target,convenience,643.53,30.7901,-116.8157,30.7806,-116.7693,1,1,12,M,4658051859839792,0
7-Eleven,fuel,194.49,32.4553,-102.4271,32.4381,-102.3865,18,7,7,F,4010143472489333,0
Apple Store,fuel,229.58,43.4774,-67.5747,43.4838,-67.56150000000001,23,5,8,F,8001927252091951,0
Shell,fuel,327.38,48.0256,-117.0912,48.003299999999996,-117.1401,21,20,9,F,5727541807263528,0
Shell,fuel,303.42,27.0061,-77.9423,26.9781,-77.9471,12,9,11,F,9286852358859007,0
CVS,electronics,959.33,40.1085,-75.1704,40.1033,-75.16,3,2,8,F,9803546394625389,0
Target,electronics,944.28,46.5668,-74.6259,46.5794,-74.6301,17,28,1,M,9192037607905673,0
Shell,convenience,345.54,34.0744,-102.2634,34.0669,-102.25760000000001,2,8,7,F,2772264505202500,0
eBay,fuel,347.04,42.6108,-74.6273,42.6549,-74.67370000000001,22,9,7,F,8152314381290652,0
CVS,fuel,876.24,35.6684,-83.5407,35.647999999999996,-83.5869,23,19,12,M,4918422060347358,1
7-Eleven,electronics,94.78,34.6315,-91.9133,34.6428,-91.88000000000001,4,27,9,M,1406046452654658,0
Target,clothing,372.27,43.1725,-93.1921,43.138799999999996,-93.14489999999999,19,16,9,M,8990777552028479,0
7-Eleven,pharmacy,773.38,27.8726,-109.4796,27.8281,-109.45700000000001,10,28,5,F,1147107820601736,1
Kroger,clothing,454.12,44.2261,-124.3923,44.215500000000006,-124.4056,2,11,11,M,2677225483236161,0
CVS,pharmacy,737.18,36.0644,-99.1441,36.0187,-99.15039999999999,2,22,9,M,1034082715221300,0
Target,convenience,747.31,34.805,-120.912,34.8111,-120.8739,23,20,4,F,8020388753217744,0
Best Buy,electronics,950.13,42.0322,-102.3607,42.015600000000006,-102.4105,0,22,1,M,3855973679540108,0
CVS,convenience,547.08,43.4062,-91.4418,43.4127,-91.4583,0,30,10,M,5100080422573559,0
7-Eleven,electronics,192.66,44.8924,-102.402,44.909600000000005,-102.4245,13,6,6,F,5002180134145779,0
Amazon,clothing,294.39,44.4962,-89.3251,44.4668,-89.29520000000001,22,25,1,F,8618014760162453,0
CVS,grocery,253.1,28.2381,-70.6989,28.2217,-70.6708,23,11,5,M,4836458151814469,0
CVS,pharmacy,312.72,42.6988,-118.5266,42.6629,-118.5395,9,8,5,F,8275351318996234,0
Walmart,convenience,196.28,33.3233,-75.4428,33.336600000000004,-75.44550000000001,16,1,1,F,4444458771419586,0
Apple Store,fuel,645.31,43.1901,-105.9044,43.2229,-105.9097,1,26,3,M,7434737114685711,0
Walmart,grocery,459.77,28.7416,-123.2009,28.738999999999997,-123.2475,22,2,4,F,4777897631993030,1
Amazon,convenience,414.17,46.5599,-117.7477,46.5391,-117.7237,18,13,2,F,3873128133616083,0
Shell,pharmacy,436.16,46.2166,-80.3951,46.198299999999996,-80.3993,0,22,3,F,7814148410676835,0
7-Eleven,grocery,190.24,33.4573,-95.9885,33.42509999999999,-96.01310000000001,13,1,9,F,1018517609183806,0
Shell,clothing,589.41,44.8299,-103.344,44.8724,-103.3663,17,25,6,F,5134201196346982,0
CVS,electronics,312.9,35.8036,-70.6066,35.8089,-70.6485,1,27,1,F,9719961509073221,0
Kroger,grocery,330.88,43.7648,-118.0779,43.7511,-118.0307,21,3,4,M,5777136080199094,0
